Product,Vendor,Category,Ship From,Ship To,Sold,Price Range,Price per unit,Payment Options,Shipping
1-28pls x ? OxyContin ORIGINAL 120mg - 7/14/28 pill/s ?,Octopus,Opioids > OxyCodone,France,Worldwide,2,60-1612.8 EUR,57 EUR for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
5-10000pls x ?? Multicolored Zelda 20mg 2C-B,AmsterdamFinest,Psychedelics > 2C-B,Netherlands,"Europe, Asia and 2 more",2,17-12000 EUR,1 EUR for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
5-10000tb x ?? Aliens 100ug LSD Tabs,AmsterdamFinest,Psychedelics > LSD,Netherlands,"Europe, Asia and 2 more",2,15-9000 EUR,0 EUR for 1tb, Escrow MultiSig,Shipping Stealth Quality Commo
5-10000pls x ?? Grey Reaper (Cola Flavor) 350mg XTC,AmsterdamFinest,Ecstasy > Pills,Netherlands,"Europe, Asia and 2 more",10,17-11000 EUR,1 EUR for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
1-1000gr x ?? Ketamine Needles 86%,AmsterdamFinest,Dissociatives > Ketamine,Netherlands,"Europe, Asia and 2 more",8,15-3500 EUR,3 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
0.15gr x ???? ?????? ????? ?,breakingbad,Stimulants > Amphetamine,Germany,Worldwide,5,1 EUR,6 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
10-5000gr x Speed Amphetamine Paste Vanilla *Thebreakingbad's,breakingbad,Stimulants > Amphetamine,Germany,Worldwide,5,8.5-1850 EUR,0 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
1-250gr x 3MMC - 3-methylmethcathinone - metaphedrone - Miauw Miauw,breakingbad,Stimulants > 3-MMC,Germany,Worldwide,3,9.5-1425 EUR,5 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
1-1000gr x 3-MMC ultra clean (1g - 10kg),le_professionnel,Stimulants > 3-MMC,Poland,Worldwide,1,30-2900 EUR,2 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
1pcs x -- BUPRENORPHINE - 35mcg/h - TD patch - Transtec,EmergencyB,Opioids > Buprenorphine,Spain,Worldwide,2,13 EUR,,,
1-100ml x [1-100] RAMBO Vapes (CCELLS 1G 95% D9 5% TERPS) NEW UPDATED PROD,rambo,Cannabis > Vape Carts,United Kingdom,United Kingdom,3,29.58-1938 GBP,19 GBP for 1ml,,
1-100ml x [1-100] RAMBO Vape Carts 1ml - NEW and IMPORVED - 5 FLAVOURS,rambo,Cannabis > Vape Carts,United Kingdom,United Kingdom,5,24.5-1530 GBP,15 GBP for 1ml,,
5-250gr x [5 - 250G] Rambo A GRADE Speed - NEW BATCH,rambo,Stimulants > Amphetamine,United Kingdom,United Kingdom,3,23-810 GBP,3 GBP for 1gr,,
2-1000gr x [1 - 1000G] Rambo NEW WHITE MEPHEDRONE 4MMC - MCAT - NEW BATCH,rambo,Stimulants > Mephedrone,United Kingdom,United Kingdom,15,21-4960 GBP,4 GBP for 1gr,,
10-1000gr x [10 - 1000G] Rambo B Grade Speed,rambo,Stimulants > Amphetamine,United Kingdom,United Kingdom,4,22-1650 GBP,1 GBP for 1gr,,
1-50gr x Premium BlueDream,feinschmecker,Cannabis > Buds/Flowers,Germany,Germany,1,11.5-375 EUR,7 EUR for 1gr,,
1-50gr x Premium GorillaGlue,feinschmecker,Cannabis > Buds/Flowers,Germany,Germany,3,12.5-425 EUR,8 EUR for 1gr,,
1-50gr x Special Cali Zskittlez,feinschmecker,Cannabis > Buds/Flowers,Germany,Germany,3,15-500 EUR,10 EUR for 1gr,,
1-250gr x [Eigenkonsum] Standard-Kush,feinschmecker,Cannabis > Buds/Flowers,Germany,Germany,1,7.5-1375 EUR,5 EUR for 1gr,,
1-250gr x [Eigenkonsum] Standard-Haze,feinschmecker,Cannabis > Buds/Flowers,Germany,Germany,1,7.5-1375 EUR,5 EUR for 1gr,,
1-50gr x Premium Polvo,feinschmecker,Cannabis > Hash,Germany,Germany,1,13-450 EUR,9 EUR for 1gr,,
1-50gr x Special Cali Runtz,feinschmecker,Cannabis > Buds/Flowers,Germany,Germany,2,15-500 EUR,10 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
4oz x Special order,johnjones3,Cannabis > Buds/Flowers,United Kingdom,United Kingdom,2,560 GBP,140 GBP for 1oz, Escrow MultiSig,Shipping Stealth Quality Commo
3.5-28gr x Wonder Woman 3.5g to 28g Free uk NDD,johnjones3,Cannabis > Buds/Flowers,United Kingdom,United Kingdom,1,28-170 GBP,6 GBP for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
3.5-1000gr x UKPABLO KETAMINE,UKPABLO,Dissociatives > Ketamine,United Kingdom,and 2 more,2,40-2900 GBP,2 GBP for 1gr,,
3.5gr x UKPABLO 3.5g COCAINE PROMO!!!,UKPABLO,Stimulants > Cocaine,United Kingdom,and 2 more,1,150 GBP,42 GBP for 1gr,,
3.5-1000gr x UKPABLO REAL DUTCH IMPORT MDMA,UKPABLO,Ecstasy > MDMA,United Kingdom,and 2 more,2,40-3200 GBP,3 GBP for 1gr,,
1-5gr x Magic Mushrooms ( B+ - high quality ),Derek4Real,Psychedelics > Shrooms,Germany,Worldwide,2,8-30 EUR,6 EUR for 1gr,,
10-1000pls x Ectasy XTC Pills 240mg Brown Bitcoin's (Hardpressed) ?? Super,Supermarket,Ecstasy > Pills,Germany,Worldwide,1,15-680 EUR,0 EUR for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
10-1000gr x Speed Amphetamine Paste Purest (Original-Selfmade) ?? SuperMa,Supermarket,Stimulants > Amphetamine,Germany,Worldwide,1,13-615 EUR,0 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
